HOLE:	984B
LEG:	162
TOP:	78.790802
BOTTOM:	500.024414

DEPTH	TENS	CS	ETIM
152.2476	2246.8225	553.3905	2252.4360
152.4000	2345.2805	553.8560	2251.4504
152.5524	2448.9614	553.3116	2250.4697
152.7048	2377.4968	552.2465	2249.4731
152.8572	2364.7471	552.3366	2248.4797
153.0096	2279.7136	552.3081	2247.4890
153.1620	2100.8003	551.8679	2246.4922
153.3144	2275.4915	551.9266	2245.5039
153.4668	2319.2449	551.3173	2244.4939
153.6192	2418.6584	552.3505	2243.5066
153.7716	2603.4836	551.8802	2242.5164
153.9240	2436.4380	551.3412	2241.5095
154.0764	2387.2854	552.0450	2240.5154
154.2288	2353.5164	551.8681	2239.4973
154.3812	2281.6821	553.4776	2238.4951
154.5336	2344.1189	554.2473	2237.5156
154.6860	2371.9705	553.2135	2236.5242
154.8384	2384.8625	553.0291	2235.5469
154.9908	2470.1389	551.7155	2234.5491
155.1432	2267.9021	551.8227	2233.5583
155.2956	1997.9888	551.4546	2232.5684
155.4480	2266.5210	550.8062	2231.5603
155.6004	2369.9829	551.5878	2230.5632
155.7528	2411.7678	551.5259	2229.5559
155.9052	2550.7024	552.4518	2228.5688
156.0576	2431.6899	551.7968	2227.5745
156.2100	2452.1692	551.5967	2226.5801
156.3624	2306.5845	551.3972	2225.5928
156.5148	2062.1626	550.5601	2224.5820
156.6672	2353.7524	551.7020	2223.5969
156.8196	2509.7817	550.7557	2222.5974
156.9720	2478.4773	550.7747	2221.6072
157.1244	2606.3208	550.1370	2220.6077
157.2768	2401.3372	550.0304	2219.5896
157.4292	2340.6951	551.5796	2218.6079
157.5816	2274.7888	550.3396	2217.6067
157.7340	2089.1907	550.4938	2216.6162
157.8864	2276.9277	549.7970	2215.6226
158.0388	2311.1680	549.2614	2214.6184
158.1912	2412.4094	549.5751	2213.6169
158.3436	2574.2532	549.6629	2212.6255
158.4960	2375.2893	549.0002	2211.6348
158.6484	2245.5203	548.1033	2210.6289
158.8008	2341.3633	548.2390	2209.6318
158.9532	2334.3032	547.8441	2208.6177
159.1056	2455.2385	548.6172	2207.6045
159.2580	2554.4666	549.5264	2206.6184
159.4104	2462.7178	548.3531	2205.6216
159.5628	2455.2427	547.8411	2204.6228
159.7152	2439.8848	547.4617	2203.6082
159.8676	2456.0151	548.2319	2202.5977
160.0200	2414.4221	548.7864	2201.5967
160.1724	2384.4285	548.7267	2200.6040
160.3248	2373.8430	547.9315	2199.6125
160.4772	2354.3359	547.0339	2198.6069
160.6296	2362.9060	547.1021	2197.6074
160.7820	2360.4602	546.5913	2196.6040
160.9344	2341.8203	546.4268	2195.6023
161.0868	2305.8042	546.0362	2194.5886
