HOLE:	984b
LEG:	162
TOP:	119.786003
BOTTOM:	488.441589

DEPTH	RHOB	PEF	DRHO
204.6728	1.6594	3.7463	-0.0088
204.8252	1.6582	3.7488	-0.0091
204.9776	1.6577	3.7112	-0.0087
205.1300	1.6544	3.6885	-0.0084
205.2824	1.6610	3.7654	-0.0036
205.4348	1.6681	3.9137	-0.0006
205.5872	1.6708	3.9700	-0.0030
205.7396	1.6601	3.9717	-0.0101
205.8920	1.6502	3.9191	-0.0151
206.0444	1.6520	3.9717	-0.0110
206.1968	1.6688	3.8661	0.0019
206.3492	1.6788	3.6511	0.0120
206.5016	1.6628	3.4226	0.0109
206.6540	1.6314	3.2796	0.0075
206.8064	1.6081	3.2694	0.0034
206.9588	1.5968	3.4576	0.0018
207.1112	1.6058	3.6872	-0.0008
207.2636	1.6374	4.0199	-0.0030
207.4160	1.6791	4.0390	-0.0046
207.5684	1.7023	4.0566	-0.0114
207.7208	1.6966	3.9832	-0.0134
207.8732	1.7020	3.9223	-0.0102
208.0256	1.7112	3.8247	-0.0055
208.1780	1.7230	3.7351	0.0007
208.3304	1.7200	3.6304	0.0036
208.4828	1.7122	3.7015	-0.0014
208.6352	1.7054	3.8190	-0.0074
208.7876	1.7033	3.9822	-0.0089
208.9400	1.7015	3.8827	-0.0035
209.0924	1.7047	3.8038	0.0107
209.2448	1.6943	3.7807	0.0094
209.3972	1.6891	3.8414	0.0077
209.5496	1.6925	3.8003	0.0073
209.7020	1.6871	3.6841	-0.0035
209.8544	1.6809	3.5837	-0.0099
210.0068	1.6787	3.5089	-0.0094
210.1592	1.6736	3.4523	-0.0086
210.3116	1.6697	3.3632	-0.0042
210.4640	1.6635	3.3445	0.0040
210.6164	1.6631	3.3403	0.0159
210.7688	1.6538	3.4404	0.0151
210.9212	1.6557	3.5587	0.0142
211.0736	1.6469	3.6349	0.0015
211.2260	1.6610	3.7554	-0.0038
211.3784	1.6681	3.8297	-0.0097
211.5308	1.6789	3.9091	-0.0101
211.6832	1.6743	3.8523	-0.0109
211.8356	1.6703	3.8090	-0.0140
211.9880	1.6719	3.8208	-0.0148
212.1404	1.6739	3.8423	-0.0108
212.2928	1.6708	3.8152	-0.0064
212.4452	1.6679	3.7793	-0.0034
212.5976	1.6657	3.7733	-0.0033
212.7500	1.6652	3.8503	-0.0033
212.9024	1.6647	3.9009	-0.0044
213.0548	1.6685	3.9394	-0.0034
213.2072	1.6711	3.9181	-0.0047
213.3596	1.6657	3.8806	-0.0075
213.5120	1.6498	3.8514	-0.0107
213.6644	1.6382	3.7491	-0.0101
213.8168	1.6325	3.6961	-0.0041
213.9692	1.6382	3.7253	0.0016
214.1216	1.6373	3.7849	-0.0007
214.2740	1.6428	3.8644	-0.0020
214.4264	1.6384	3.8066	-0.0079
214.5788	1.6394	3.7798	-0.0061
214.7312	1.6391	3.7532	-0.0028
214.8836	1.6468	3.7277	0.0016
215.0360	1.6454	3.6660	0.0009
215.1884	1.6317	3.6239	-0.0026
215.3408	1.6093	3.6187	-0.0068
215.4932	1.5969	3.7150	-0.0066
215.6456	1.5973	3.7319	-0.0047
215.7980	1.6014	3.8106	-0.0055
215.9504	1.6121	3.7465	-0.0019
216.1028	1.6156	3.8194	0.0011
216.2552	1.6277	3.7725	0.0057
216.4076	1.6349	3.8563	-0.0001
216.5600	1.6479	3.8129	-0.0081
216.7124	1.6546	3.8314	-0.0095
216.8648	1.6569	3.8307	-0.0082
217.0172	1.6631	3.8552	-0.0079
217.1696	1.6660	3.9189	-0.0129
217.3220	1.6715	3.9008	-0.0160
217.4744	1.6624	3.8498	-0.0172
217.6268	1.6534	3.7766	-0.0135
217.7792	1.6478	3.7258	-0.0111
217.9316	1.6438	3.7354	-0.0142
218.0840	1.6444	3.7259	-0.0174
218.2364	1.6484	3.7798	-0.0213
218.3888	1.6617	3.7622	-0.0175
218.5412	1.6790	3.7409	-0.0147
218.6936	1.6798	3.6879	-0.0135
218.8460	1.6742	3.7217	-0.0134
218.9984	1.6627	3.7677	-0.0140
219.1508	1.6538	3.8190	-0.0107
219.3032	1.6506	3.8108	-0.0077
219.4556	1.6446	3.7331	-0.0074
219.6080	1.6357	3.6283	-0.0059
219.7604	1.6257	3.5649	-0.0021
219.9128	1.6199	3.5532	0.0057
220.0652	1.6195	3.6045	0.0053
220.2176	1.6142	3.6751	-0.0027
220.3700	1.6127	3.7341	-0.0100
220.5224	1.6112	3.7299	-0.0106
220.6748	1.6122	3.6489	-0.0070
220.8272	1.6080	3.5521	-0.0061
220.9796	1.5975	3.5245	-0.0100
221.1320	1.6043	3.5421	-0.0113
221.2844	1.6136	3.5428	-0.0124
