HOLE:	984b
LEG:	162
TOP:	98.145599
BOTTOM:	502.462799

DEPTH	SGR	CGR	THOR	URAN	POTA	W1NG	W2NG	W3NG	W4NG	W5NG
129.9972	27.9596	11.8120	1.2616	1.8242	0.4385	43.3913	23.8432	4.4765	2.6428	0.0293
130.1496	27.2526	10.8974	1.1983	1.8477	0.3978	53.7029	14.2194	2.6664	0.0275	0.8720
130.3020	27.3276	11.3732	1.3298	1.8024	0.3995	49.6877	24.3278	8.4138	2.8045	0.0040
130.4544	27.7134	11.9666	1.4892	1.7790	0.4025	52.9964	18.5271	3.5272	0.0000	1.7665
130.6068	27.5471	13.2049	1.7243	1.6203	0.4282	58.1798	15.0785	1.9025	0.0196	1.8652
130.7592	30.0106	15.7504	2.0122	1.6110	0.5195	60.1568	21.2346	4.4729	1.7490	0.8975
130.9116	31.1324	16.7336	2.1198	1.6267	0.5555	69.4996	24.6938	7.8357	0.8593	1.7186
131.0640	32.5493	17.2317	2.1961	1.7305	0.5694	62.2507	24.2459	3.8713	0.0000	0.0626
131.2164	31.1040	16.8261	2.2580	1.6130	0.5336	73.8904	20.4333	7.3865	0.0372	1.8378
131.3688	31.3066	17.8617	2.4536	1.5189	0.5552	70.1443	16.2191	4.5897	1.0587	0.8935
131.5212	29.4453	19.1363	2.6052	1.1646	0.5995	66.8278	21.8944	2.9691	3.3924	0.1017
131.6736	29.4016	20.4295	2.6898	1.0136	0.6581	61.7948	19.3287	8.2733	0.9942	1.7616
131.8260	29.4963	21.2316	2.7810	0.9337	0.6868	60.0421	28.0497	5.7501	1.8105	0.1290
131.9784	30.3004	21.0081	2.7427	1.0498	0.6813	61.5239	26.6324	7.2577	0.8662	1.8645
132.1308	31.8871	21.2891	2.7449	1.1973	0.6972	69.7448	20.5470	4.7385	0.1544	1.6972
132.2832	35.0980	23.0922	2.8598	1.3563	0.7795	72.2510	23.3476	8.6036	1.7900	0.9373
132.4356	34.5640	22.6343	2.7186	1.3477	0.7808	88.4043	22.4238	10.2275	0.8476	0.9381
132.5880	33.4481	22.2274	2.6592	1.2676	0.7688	56.2895	21.8107	8.9568	0.1817	0.8408
132.7404	29.5692	19.2701	2.3470	1.1635	0.6583	63.4682	23.5409	5.2970	1.6679	0.2951
132.8928	28.5239	18.1329	2.2520	1.1739	0.6109	54.3980	21.4239	5.3284	0.7773	2.4433
133.0452	26.7717	17.1788	2.0776	1.0837	0.5898	46.4651	22.7028	5.9122	0.0000	0.9304
133.1976	26.9795	17.5408	1.9986	1.0663	0.6265	51.3363	17.9161	7.8823	0.1251	0.8896
133.3500	27.5153	18.5079	2.0153	1.0176	0.6795	57.5584	19.5381	6.9491	1.3009	0.8076
133.5024	29.8384	19.4056	2.0769	1.1786	0.7196	54.0823	19.9458	4.2503	3.1503	0.1378
133.6548	33.1165	20.9025	2.2222	1.3798	0.7780	57.7040	28.2921	8.3652	0.9294	1.0664
133.8072	37.6699	23.3762	2.4561	1.6148	0.8759	71.2853	30.1644	7.8686	0.8910	1.6318
133.9596	39.8721	24.4285	2.5006	1.7447	0.9284	73.9216	35.7025	7.5713	0.7793	0.9278
134.1120	38.5586	23.6184	2.3701	1.6878	0.9070	68.8696	33.0929	8.0229	0.3302	1.0567
134.2644	35.4032	21.5163	2.1178	1.5688	0.8344	68.0543	19.2736	7.5896	1.7050	1.8762
134.4168	33.0979	19.6358	1.8751	1.5209	0.7729	61.5587	22.3439	3.7102	0.9275	1.5194
134.5692	32.8555	18.5685	1.7070	1.6140	0.7440	62.6410	24.6248	4.1330	0.7090	0.0000
134.7216	32.0855	16.4581	1.4424	1.7655	0.6733	68.5614	21.2032	6.7550	0.1915	0.0000
134.8740	30.9662	14.6320	1.2279	1.8453	0.6094	50.1738	22.6170	7.8907	1.1348	0.0000
135.0264	29.6146	13.6066	1.0779	1.8085	0.5794	49.1544	20.0958	9.1679	2.0801	0.4122
135.1788	29.3667	13.3586	0.9979	1.8085	0.5807	50.5830	21.8877	7.5350	2.3788	1.6523
135.3312	29.5732	13.0689	0.9138	1.8645	0.5805	51.2736	21.7578	4.6974	0.6767	0.8956
135.4836	30.8953	12.9046	0.8699	2.0324	0.5796	53.4687	20.9693	6.7502	0.2256	0.7119
