HOLE:	984b
LEG:	162
TOP:	87.934799
BOTTOM:	497.890808

DEPTH	IDPH	IMPH	SFLU
156.9720	0.5239	0.5352	0.4962
157.1244	0.5240	0.5329	0.4826
157.2768	0.5262	0.5336	0.4883
157.4292	0.5271	0.5373	0.4896
157.5816	0.5317	0.5441	0.4981
157.7340	0.5406	0.5539	0.5072
157.8864	0.5429	0.5652	0.5089
158.0388	0.5419	0.5750	0.5469
158.1912	0.5402	0.5791	0.5658
158.3436	0.5359	0.5753	0.5699
158.4960	0.5321	0.5651	0.5314
158.6484	0.5278	0.5515	0.5001
158.8008	0.5154	0.5376	0.4935
158.9532	0.5054	0.5254	0.5020
159.1056	0.5051	0.5162	0.4884
159.2580	0.5006	0.5108	0.4622
159.4104	0.4998	0.5089	0.4579
159.5628	0.5014	0.5101	0.4546
159.7152	0.5070	0.5147	0.4669
159.8676	0.5206	0.5228	0.4811
160.0200	0.5300	0.5343	0.4744
160.1724	0.5386	0.5486	0.5034
160.3248	0.5520	0.5642	0.5434
160.4772	0.5570	0.5793	0.5527
160.6296	0.5641	0.5919	0.5602
160.7820	0.5731	0.5999	0.5450
160.9344	0.5757	0.6024	0.5375
161.0868	0.5765	0.6004	0.5360
161.2392	0.5763	0.5967	0.5420
161.3916	0.5754	0.5936	0.5437
161.5440	0.5744	0.5910	0.5442
161.6964	0.5692	0.5880	0.5493
161.8488	0.5611	0.5837	0.5484
162.0012	0.5579	0.5782	0.5490
162.1536	0.5552	0.5721	0.5273
162.3060	0.5504	0.5664	0.5170
162.4584	0.5483	0.5617	0.5157
162.6108	0.5480	0.5594	0.5125
162.7632	0.5485	0.5608	0.5235
162.9156	0.5525	0.5666	0.5286
163.0680	0.5544	0.5756	0.5382
163.2204	0.5583	0.5860	0.5532
163.3728	0.5714	0.5960	0.5556
163.5252	0.5775	0.6042	0.5553
163.6776	0.5820	0.6102	0.5622
163.8300	0.5860	0.6140	0.5769
163.9824	0.5886	0.6163	0.5816
164.1348	0.5890	0.6171	0.5808
164.2872	0.5880	0.6162	0.5679
164.4396	0.5821	0.6130	0.5638
164.5920	0.5773	0.6074	0.5600
164.7444	0.5733	0.5996	0.5578
164.8968	0.5599	0.5896	0.5484
165.0492	0.5487	0.5780	0.5437
165.2016	0.5425	0.5657	0.5393
165.3540	0.5340	0.5543	0.5056
165.5064	0.5293	0.5451	0.4878
165.6588	0.5262	0.5389	0.4842
165.8112	0.5243	0.5362	0.4942
165.9636	0.5254	0.5366	0.5081
166.1160	0.5253	0.5397	0.5160
166.2684	0.5254	0.5448	0.5213
166.4208	0.5296	0.5507	0.5234
166.5732	0.5317	0.5559	0.5312
166.7256	0.5323	0.5588	0.5361
166.8780	0.5329	0.5583	0.5148
167.0304	0.5337	0.5551	0.5086
167.1828	0.5341	0.5514	0.5105
167.3352	0.5359	0.5501	0.5148
167.4876	0.5374	0.5527	0.5208
167.6400	0.5382	0.5586	0.5155
167.7924	0.5399	0.5660	0.5298
167.9448	0.5439	0.5721	0.5408
168.0972	0.5464	0.5754	0.5432
168.2496	0.5470	0.5757	0.5416
168.4020	0.5451	0.5732	0.5447
168.5544	0.5434	0.5685	0.5472
168.7068	0.5425	0.5627	0.5388
168.8592	0.5425	0.5574	0.5105
169.0116	0.5434	0.5546	0.4975
169.1640	0.5449	0.5555	0.5016
169.3164	0.5454	0.5600	0.5257
169.4688	0.5453	0.5665	0.5471
169.6212	0.5468	0.5720	0.5543
169.7736	0.5481	0.5744	0.5571
169.9260	0.5496	0.5736	0.5504
170.0784	0.5530	0.5714	0.5330
170.2308	0.5549	0.5704	0.5250
170.3832	0.5548	0.5720	0.5259
170.5356	0.5535	0.5754	0.5397
170.6880	0.5522	0.5789	0.5512
170.8404	0.5511	0.5803	0.5531
170.9928	0.5503	0.5792	0.5452
171.1452	0.5494	0.5763	0.5359
171.2976	0.5484	0.5726	0.5300
171.4500	0.5469	0.5683	0.5272
171.6024	0.5392	0.5630	0.5273
171.7548	0.5337	0.5563	0.5277
171.9072	0.5314	0.5488	0.5247
172.0596	0.5288	0.5423	0.5017
172.2120	0.5275	0.5386	0.4866
172.3644	0.5271	0.5384	0.4862
172.5168	0.5271	0.5416	0.5027
172.6692	0.5280	0.5467	0.5160
172.8216	0.5303	0.5525	0.5212
172.9740	0.5354	0.5578	0.5257
173.1264	0.5397	0.5621	0.5261
173.2788	0.5456	0.5658	0.5253
