Leg 162,  Site 984, Core data type SUSCEPTIBILITY,  Log data type SUMT,
Data repicked to log depth
Linear Equation;  y = 0.139x + 78.998
       ELD      SmCore  SmLog
B    112.37    443.07   2614.20
B    112.52    461.38   2577.00
B    112.67    479.70   2460.00
B    112.83    499.23   2425.70
B    112.98    517.54   2602.40
B    113.13    535.86   2816.40
B    113.28    548.43   2951.20
B    113.44    518.34   2967.70
B    113.59    375.93   3420.00
B    113.74    504.26   3695.30
B    113.89    573.12   3469.30
B    114.04    632.82   3453.30
B    114.20    664.91   4130.80
B    114.35    659.24   4496.60
B    114.50    651.36   4638.90
B    114.65    656.87   4578.80
B    114.81    658.99   3954.60
B    114.96    640.74   3746.40
B    115.11    599.72   3431.00
B    115.26    550.50   3130.80
B    115.42    509.44   2970.20
B    115.57    482.89   2941.40
B    115.72    476.95   3029.80
B    115.87    491.69   3079.30
B    116.03    519.59   3042.70
B    116.18    535.40   3055.40
B    116.33    522.93   2939.70
B    116.48    487.75   2803.10
B    116.64    448.16   2610.40
B    116.79    418.07   2367.00
B    116.94    401.38   2384.90
B    117.09    406.12   3145.70
B    117.25    460.28   3546.90
B    117.40    568.89   3801.40
B    117.55    704.76   4765.00
B    117.70    809.55   5506.00
B    117.86    845.34   5711.60
B    118.01    823.50   5546.00
B    118.16    795.78   5321.90
B    118.31    801.72   4968.20
B    118.47    841.88   5048.30
B    118.62    864.51   5412.30
B    118.77    848.90   4991.00
B    118.92    807.89   4467.80
B    119.07    772.62   4314.00
B    119.23    748.74   4119.30
B    119.38    716.87   3974.00
B    119.53    660.22   3867.30
B    119.68    587.64   3284.40
B    119.84    521.71   2713.20
B    119.99    486.52   2461.70
B    120.14    470.29   2363.60
B    120.29    455.87   2619.30
B    120.45    433.05   2813.90
B    120.60    420.64   2890.60
B    120.75    445.37   2955.00
B    120.90    512.27   3105.30
B    121.06    598.94   3566.20
B    121.21    651.74   4243.10
B    121.36    659.05   4215.00
B    121.51    637.29   4319.40
B    121.66    617.15   4382.00
B    121.82    584.00   4211.90
B    121.97    706.87   3942.40
B    122.12    738.32   4110.10
B    122.27    613.53   4365.70
