HOLE:	984b
LEG:	162
TOP:	119.786003
BOTTOM:	488.441589

DEPTH	CALI

266.6996	13.7917
266.8520	13.7857
267.0044	13.7840
267.1568	13.7906
267.3092	13.7871
267.4616	13.7832
267.6140	13.7839
267.7664	13.7589
267.9188	13.7149
268.0712	13.7293
268.2236	13.7204
268.3760	13.7219
268.5284	13.7197
268.6808	13.7197
268.8332	13.7248
268.9856	13.7281
269.1380	13.7193
269.2904	13.7182
269.4428	13.6941
269.5952	13.6865
269.7476	13.6842
269.9000	13.6711
270.0524	13.6711
270.2048	13.6753
270.3572	13.6964
270.5096	13.6901
270.6620	13.7205
270.8144	13.7084
270.9668	13.7167
271.1192	13.5713
271.2716	13.4661
271.4240	13.4719
271.5764	13.4649
271.7288	13.4716
271.8812	13.4693
272.0336	13.4636
272.1860	13.4758
272.3384	13.4636
272.4908	13.4737
272.6432	13.4636
272.7956	13.4912
272.9480	13.5853
273.1004	13.6042
273.2528	13.7172
273.4052	13.7577
273.5576	13.7675
273.7100	13.7500
273.8624	13.7643
274.0148	13.7621
274.1672	13.7579
274.3196	13.7557
274.4720	13.7600
274.6244	13.7580
274.7768	13.5515
274.9292	13.5713
275.0816	13.5525
275.2340	13.5662
275.3864	13.5620
275.5388	13.5705
275.6912	13.5747
275.8436	13.5759
275.9960	13.5871
276.1484	13.5694
276.3008	13.5769
276.4532	13.5800
276.6056	13.5885
276.7580	13.5851
276.9104	13.5864
277.0628	13.5801
277.2152	13.5917
277.3676	13.5810
277.5200	13.5821
277.6724	13.5832
277.8248	13.5820
277.9772	13.5843
278.1296	13.5779
278.2820	13.5546
278.4344	13.5705
278.5868	13.5927
278.7392	13.5864
278.8916	13.5872
279.0440	13.5877
279.1964	13.5801
279.3488	13.5874
279.5012	13.5877
279.6536	13.5864
279.8060	13.5899
279.9584	13.5921
280.1108	13.5779
280.2632	13.5980
280.4156	13.5927
280.5680	13.5867
280.7204	13.5969
280.8728	13.4287
281.0252	13.4222
281.1776	13.4189
281.3300	13.3809
281.4824	13.3556
281.6348	13.3451
281.7872	13.3523
281.9396	13.3503
282.0920	13.3515
282.2444	13.3512
282.3968	13.3562
282.5492	13.3574
282.7016	13.2656
282.8540	13.1417
283.0064	13.1424
283.1588	13.1356
283.3112	13.1433
283.4636	13.1353
283.6160	13.1449
283.7684	13.1424
283.9208	13.1400
284.0732	13.1383
284.2256	13.1390
284.3780	13.1457
284.5304	13.1345
284.6828	13.1438
284.8352	13.1396
284.9876	13.1375
